(000000,000001): 0.096027081153624; Result: Inconclusive
(001010,001011): 0.1889878673794113; Result: Inconclusive
(001010,001111): 0.1511285372801092; Result: Inconclusive
(001010,010011): 0.375; Result: Inconclusive
(001010,010111): 0.30922354189344303; Result: Inconclusive
(001011,001100): 0.06560207080539211; Result: Inconclusive
(001011,010000): 0.22933194239164756; Result: Inconclusive
(001011,010100): 0.25967825220979; Result: Inconclusive
(001011,011000): 0.921875; Result: Inconclusive
(001100,001001): 1.0; Result: Inconclusive
(001100,001101): 0.232421875; Result: Inconclusive
(001100,010001): 0.16015625; Result: Inconclusive
(001100,010101): 0.431640625; Result: Inconclusive
(001101,001010): 0.23572565112349764; Result: Inconclusive
(001101,001110): 0.556640625; Result: Inconclusive
(001101,010010): 0.16015625; Result: Inconclusive
(001101,010110): 0.921875; Result: Inconclusive
(001110,001011): 0.811892226523236; Result: Inconclusive
(001110,001111): 0.12287538847933098; Result: Inconclusive
(001110,010011): 0.6108129565007328; Result: Inconclusive
(001110,010111): 0.1091212854742424; Result: Inconclusive
(001111,001100): 0.551867456781661; Result: Inconclusive
(001111,010000): 0.921875; Result: Inconclusive
(001111,010100): 0.4435984319578371; Result: Inconclusive
(001111,011000): 0.322265625; Result: Inconclusive
(010000,010001): 0.431640625; Result: Inconclusive
(010000,010101): 0.9052810414333131; Result: Inconclusive
(010000,011001): 0.7256399616198785; Result: Inconclusive
(010000,011101): 0.8655343251561596; Result: Inconclusive
(010001,010010): 1.0; Result: Inconclusive
(010001,010110): 1.0; Result: Inconclusive
(010001,011010): 0.5128151488077395; Result: Inconclusive
(010001,011110): 0.275390625; Result: Inconclusive
(010010,010011): 0.322265625; Result: Inconclusive
(010010,010111): 0.887815335823155; Result: Inconclusive
(010010,011011): 1.0; Result: Inconclusive
(010010,011111): 0.130859375; Result: Inconclusive
(010011,010100): 0.9440454257000918; Result: Inconclusive
(010011,011000): 1.0; Result: Inconclusive
(010011,011100): 0.5512556812735369; Result: Inconclusive
(010011,100000): 0.40487306185858307; Result: Inconclusive
(010100,010001): 0.4057028499592611; Result: Inconclusive
(010100,010101): 0.8114002595629675; Result: Inconclusive
(010100,011001): 0.59034665908573; Result: Inconclusive
(010100,011101): 0.3979076689546348; Result: Inconclusive
(010101,010010): 0.5933057333639251; Result: Inconclusive
(010101,010110): 0.5933057333639251; Result: Inconclusive
(010101,011010): 0.01953125; Result: Inconclusive
(010101,011110): 0.5522189994111181; Result: Inconclusive
(010110,010011): 0.275390625; Result: Inconclusive
(010110,010111): 0.3603613229883825; Result: Inconclusive
(010110,011011): 0.6349917907446545; Result: Inconclusive
(010110,011111): 1.0; Result: Inconclusive
(010111,010100): 0.625; Result: Inconclusive
(010111,011000): 0.9525147320732295; Result: Inconclusive
(010111,011100): 0.041558707296959874; Result: Inconclusive
(010111,100000): 0.16015625; Result: Inconclusive
(011000,011001): 0.5529196249710486; Result: Inconclusive
(011000,011101): 0.6749867139704893; Result: Inconclusive
(011000,100001): 0.034287967973591744; Result: Inconclusive
(011000,100101): 0.322265625; Result: Inconclusive
(011001,011010): 0.16015625; Result: Inconclusive
(011001,011110): 0.07488031404005385; Result: Inconclusive
(011001,100010): 0.375; Result: Inconclusive
(011001,100110): 0.633191238475735; Result: Inconclusive
(011010,011011): 0.47328946538009; Result: Inconclusive
(011010,011111): 0.431640625; Result: Inconclusive
(011010,100011): 0.17193836605810286; Result: Inconclusive
(011010,100111): 0.14050554128479997; Result: Inconclusive
(011011,011100): 0.28504940740261275; Result: Inconclusive
(011011,100000): 0.5128151488077395; Result: Inconclusive
(011011,100100): 1.0; Result: Inconclusive
(011011,101000): 0.8114002595629675; Result: Inconclusive
(011100,011001): 1.0; Result: Inconclusive
(011100,011101): 1.0; Result: Inconclusive
(011100,100001): 0.76953125; Result: Inconclusive
(011100,100101): 0.5109393498748492; Result: Inconclusive
(011101,011010): 1.0; Result: Inconclusive
(011101,011110): 0.6337943727463906; Result: Inconclusive
(011101,100010): 0.5981614526835282; Result: Inconclusive
(011101,100110): 0.76953125; Result: Inconclusive
(011110,011011): 1.0; Result: Inconclusive
(011110,011111): 0.28504940740261275; Result: Inconclusive
(011110,100011): 0.17118143899932936; Result: Inconclusive
(011110,100111): 0.6776004804244088; Result: Inconclusive
(011111,011100): 1.0; Result: Inconclusive
(011111,100000): 0.40528837876011625; Result: Inconclusive
(011111,100100): 0.03552233662341458; Result: Inconclusive
(011111,101000): 0.23222840692823477; Result: Inconclusive
(100000,100001): 0.5916697218805765; Result: Inconclusive
(100000,100101): 0.921875; Result: Inconclusive
(100000,101001): 0.8334336202223243; Result: Inconclusive
(100000,101101): 0.6240645324651697; Result: Inconclusive
(100001,100010): 0.17269378073166064; Result: Inconclusive
(100001,100110): 0.9047764749089059; Result: Inconclusive
(100001,101010): 0.008848773653994606; Result: Fail for OPO
(100001,101110): 0.193359375; Result: Inconclusive
(100010,100011): 0.76953125; Result: Inconclusive
(100010,100111): 0.4768097606977212; Result: Inconclusive
(100010,101011): 0.431640625; Result: Inconclusive
(100010,101111): 0.4764220527010231; Result: Inconclusive
(100011,100100): 0.6953125; Result: Inconclusive
(100011,101000): 0.6953125; Result: Inconclusive
(100011,101100): 0.8123803640878847; Result: Inconclusive
(100011,110000): 0.8110701293339075; Result: Inconclusive
(100100,100001): 0.8882288681198502; Result: Inconclusive
(100100,100101): 0.7524936490337828; Result: Inconclusive
(100100,101001): 0.7246620479349835; Result: Inconclusive
(100100,101101): 0.7201570850786317; Result: Inconclusive
(100101,100010): 0.76953125; Result: Inconclusive
(100101,100110): 0.14932461032048971; Result: Inconclusive
(100101,101010): 0.7658972859712722; Result: Inconclusive
(100101,101110): 0.7236736098317631; Result: Inconclusive
(100110,100011): 0.7666990581557919; Result: Inconclusive
(100110,100111): 0.15295273384413882; Result: Inconclusive
(100110,101011): 0.8583387745277491; Result: Inconclusive
(100110,101111): 0.921875; Result: Inconclusive
(100111,100100): 0.4921875; Result: Inconclusive
(100111,101000): 0.845703125; Result: Inconclusive
(100111,101100): 0.5067358795793454; Result: Inconclusive
(100111,110000): 0.76953125; Result: Inconclusive
(101000,101001): 1.0; Result: Inconclusive
(101000,101101): 0.40445689647910377; Result: Inconclusive
(101000,110001): 0.9427644026876507; Result: Inconclusive
(101000,110101): 0.15417425672344237; Result: Inconclusive
(101001,101010): 0.4760334929424296; Result: Inconclusive
(101001,101110): 1.0; Result: Inconclusive
(101001,110010): 0.07479137758694414; Result: Inconclusive
(101001,110110): 0.3398407394232733; Result: Inconclusive
(101010,101011): 0.232421875; Result: Inconclusive
(101010,101111): 0.0658399776970815; Result: Inconclusive
(101010,110011): 0.4383887362031065; Result: Inconclusive
(101010,110111): 0.431640625; Result: Inconclusive
(101011,101100): 0.40362200912361423; Result: Inconclusive
(101011,110000): 0.7213441235917369; Result: Inconclusive
(101011,110100): 0.7199178531944465; Result: Inconclusive
(101011,111000): 0.1823551262273918; Result: Inconclusive
(101100,101001): 0.7991427680420735; Result: Inconclusive
(101100,101101): 0.6232116743238449; Result: Inconclusive
(101100,110001): 0.8334336202223243; Result: Inconclusive
(101100,110101): 0.34197904395986667; Result: Inconclusive
(101101,101010): 1.0; Result: Inconclusive
(101101,101110): 0.8585862013366392; Result: Inconclusive
(101101,110010): 0.4392541254123927; Result: Inconclusive
(101101,110110): 0.921875; Result: Inconclusive
(101110,101011): 0.5541131300694455; Result: Inconclusive
(101110,101111): 0.8332316252704; Result: Inconclusive
(101110,110011): 0.556640625; Result: Inconclusive
(101110,110111): 0.4921875; Result: Inconclusive
(101111,101100): 0.19056109265074184; Result: Inconclusive
(101111,110000): 0.21312246884125097; Result: Inconclusive
(101111,110100): 0.375; Result: Inconclusive
(101111,111000): 0.4921875; Result: Inconclusive
(110000,110001): 0.5139304151307518; Result: Inconclusive
(110000,110101): 0.5522189994111181; Result: Inconclusive
(110000,111001): 0.232421875; Result: Inconclusive
(110000,111101): 0.041785168403922095; Result: Inconclusive
(110001,110010): 1.0; Result: Inconclusive
(110001,110110): 0.275390625; Result: Inconclusive
(110001,111010): 0.4921875; Result: Inconclusive
(110001,111110): 0.5260658393071347; Result: Inconclusive
(110010,110011): 0.4057028499592611; Result: Inconclusive
(110010,110111): 1.0; Result: Inconclusive
(110010,111011): 0.4768097606977212; Result: Inconclusive
(110010,111111): 0.556640625; Result: Inconclusive
(110011,000000): 0.375; Result: Inconclusive
(110011,110100): 0.6340948290500781; Result: Inconclusive
(110011,111000): 0.47525380583898236; Result: Inconclusive
(110011,111100): 0.6325851216960414; Result: Inconclusive
(110100,110001): 0.4400622899584924; Result: Inconclusive
(110100,110101): 0.37341957891194966; Result: Inconclusive
(110100,111001): 0.921875; Result: Inconclusive
(110100,111101): 0.7208711220501738; Result: Inconclusive
(110101,110010): 0.5260658393071347; Result: Inconclusive
(110101,110110): 0.5923264831408026; Result: Inconclusive
(110101,111010): 0.6953125; Result: Inconclusive
(110101,111110): 0.5286121252556879; Result: Inconclusive
(110110,110011): 1.0; Result: Inconclusive
(110110,110111): 0.625; Result: Inconclusive
(110110,111011): 0.375; Result: Inconclusive
(110110,111111): 0.625; Result: Inconclusive
(110111,000000): 0.6736693243745802; Result: Inconclusive
(110111,110100): 0.40487306185858307; Result: Inconclusive
(110111,111000): 1.0; Result: Inconclusive
(110111,111100): 0.375; Result: Inconclusive
(111000,000001): 0.625; Result: Inconclusive
(111000,000101): 0.7789060199126654; Result: Inconclusive
(111000,111001): 0.845703125; Result: Inconclusive
(111000,111101): 0.258294311186267; Result: Inconclusive
(111001,000010): 0.064453125; Result: Inconclusive
(111001,000110): 0.44046508860298905; Result: Inconclusive
(111001,111010): 0.3603613229883825; Result: Inconclusive
(111001,111110): 0.15368025191750845; Result: Inconclusive
(111010,000011): 0.2281654530888576; Result: Inconclusive
(111010,000111): 0.48222504475604; Result: Inconclusive
(111010,111011): 0.40445689647910377; Result: Inconclusive
(111010,111111): 0.431640625; Result: Inconclusive
(111011,000000): 0.8330288937195214; Result: Inconclusive
(111011,000100): 0.556640625; Result: Inconclusive
(111011,001000): 0.921875; Result: Inconclusive
(111011,111100): 0.4383887362031065; Result: Inconclusive
(111100,000001): 0.193359375; Result: Inconclusive
(111100,000101): 0.056925140231394014; Result: Inconclusive
(111100,111001): 0.2854738306985861; Result: Inconclusive
(111100,111101): 0.551867456781661; Result: Inconclusive
(111101,000010): 0.9054474562644169; Result: Inconclusive
(111101,000110): 0.845703125; Result: Inconclusive
(111101,111010): 0.845703125; Result: Inconclusive
(111101,111110): 0.6223530015591523; Result: Inconclusive
(111110,000011): 0.40445689647910377; Result: Inconclusive
(111110,000111): 0.7211079234246551; Result: Inconclusive
(111110,111011): 0.921875; Result: Inconclusive
(111110,111111): 0.5923264831408026; Result: Inconclusive
(111111,000000): 0.13952696844257637; Result: Inconclusive
(111111,000100): 0.019550269092885545; Result: Inconclusive
(111111,001000): 0.5529196249710486; Result: Inconclusive
(111111,111100): 0.20489389381637868; Result: Inconclusive
